id;Код;остаток
2060;РС665;1
2061;РС667;1
1967;РС668;0
1971;РС679;33
1307;РС680;21
1309;РС682;0
1311;РС684;22
1313;РС686;52
1938;РС690;0
1939;РС691;0
1318;РС692;25
1940;РС693;0
1968;РС701;7
1324;РС702;93
1325;РС703;0
1326;РС704;12
1327;РС705;16
1328;РС706;72
1329;РС707;32
1337;РС715;6
1338;РС716;2
1339;РС717;17
1341;РС719;15
1342;РС720;31
1344;РС722;8
1345;РС723;2
1347;РС725;0
1348;РС726;5
1349;РС727;8
1350;РС728;6
2062;РС729;7
1941;РС730;0
2063;РС735;0
1358;РС741;5
1359;РС742;8
1360;РС743;8
2064;РС758;3
2065;РС760;1
2066;РС766;1
2067;РС768;1
2068;РС769;0
2078;РС780;0
1376;РС781;0
1390;РС801;2
1394;РС805;26
1395;РС806;34
1396;РС807;0
1397;РС808;11
1398;РС809;0
1399;РС810;0
1400;РС811;49
1969;РС817;0
1406;РС818;3
1407;РС819;25
1409;РС821;9
1410;РС822;5
1412;РС824;0
1413;РС825;4
1970;РС826;0
1416;РС828;0
1419;РС831;0
1424;РС836;0
1425;РС837;0
2080;РС838;0
1428;РС840;3
2069;РС841;1
2070;РС842;2
2071;РС843;2
2072;РС844;8
1449;РС871;0
1468;РС890;0
1476;РС900;0
1477;РС901;0
1488;РС912;0
1894;РС914;1
1492;РС916;0
1517;РТ210;0
1518;РТ211;0
1521;РТ303;13
1523;РТ305;0
1526;РФ103;0
1698;С039;0
1537;С059;0
1540;С066;0
1699;С068;0
1872;С204;0
1740;СА470;0
1741;СА625;0
1867;СВ222;2
1789;СВ230;0
1871;СВ231;0
