id_product;reference;r1;r2;r3;rname;rtor
1406;РС818;1;1;8;Подарок от Д. М.;1
1407;РС819;1;1;8;Салют молодежи!;1
1409;РС821;1;1;4;Древо желаний;1
1410;РС822;1;1;4;8-ое чудо света;1
1412;РС824;1;1;8;Симфония огня;1
1413;РС825;1;1;4;Обыкновен. чудо;1
1416;РС828;1;1;4;Садко;1
1419;РС831;1;1;6;Новог. фантазии ;1
1424;РС836;1;1;4;ВКС;1
1425;РС837;1;1;2;ФСБ;1
1428;РС840;1;1;4;Малахит. шкатулка;1
1449;РС871;1;1;1;Брутальный;1
1468;РС890;1;1;1;СССР;1
1476;РС900;1;1;4;Народный;1
1477;РС901;1;1;1;Юбилейный - 50;1
1488;РС912;1;1;1;Новогоднее настр.;1
1492;РС916;1;1;1;Красная поляна;1
1517;РТ210;1;1;25;Любим.принцессе;1
1518;РТ211;1;1;25;Люб. футболисту;1
1521;РТ303;1;1;72;Свет. Романтика;1
1523;РТ305;1;1;72;Свеча Лотос;1
1526;РФ103;1;1;250;Н.фонарик Сердце;1
1537;С059;1;1;2;Мульт. Фейерверк;1
1540;С066;1;1;2;Сокровище Пират.;1
1559;СРС005;1;1;1;Professional-150;1
1563;ТР104;1;1;116;Хлопушка;1
1565;ТР107;3;1;150;Хлопушка;3
1566;ТР108;3;1;150;Хлопушка;3
1567;ТР109;1;1;116;Хлопушка;1
1568;ТР110;1;1;116;Хлопушка;1
1569;ТР111;12;1;20;Знаки Зодиака;12
1570;ТР112;12;1;20;Весёлая тусовка;12
1572;ТР114;1;1;308;Супер Гранд;1
1573;ТР115;1;1;120;Макси Гигант;1
1574;ТР151;3;1;50;Бенг. свечи 400;1
1575;ТР152;3;1;44;Бенг. свечи 350;1
1576;ТР153;3;1;50;Бенг. свечи 350;1
1577;ТР154;3;1;20;Бенг. свечи 600;1
1578;ТР155;6;1;200;Бенг. свечи 170;1
1579;ТР156;6;1;200;Бенг. свечи 210;1
1580;ТР157;6;1;200;Бенг. свечи 170э;1
1581;ТР158;6;1;200;Бенг. свечи 170с;1
1583;ТР160;6;1;200;Бенг. свечи 210с;1
1584;ТР161;2;1;100;Звездочка;1
1585;ТР162;2;1;100;Сердечко;1
1586;ТР163;2;1;100;Елочка;1
1587;ТР164;5;1;120;Свиристель;1
1590;ТР705;2;1;50;Пистоль;2
1592;ТР707;3;1;70;Букетик;3
1593;ТР708;3;1;70;ZOOпарк;3
1594;ТР709;2;1;70;Супер букетик;2
1595;ТС610;1;1;24;Золотая рыбка;1
1596;ТС620;1;1;24;Снеговичок;1
1597;ТС630;1;1;16;Конек-Горбунок;1
1598;ТС641;1;1;18;Снежинки и смеш.;1
1599;ТС642;1;1;16;Снегири;1
1600;ТС643;1;1;12;Снегопарни;1
1602;ТС652;1;1;12;Цветущая сакура;1
1603;ТС653;1;1;12;Дед Мазай;1
1604;ТС661;1;1;8;Страна чудес;1
1605;ТС662;1;1;8;Ледовые забавы;1
1606;ТС671;1;1;4;Хоровод на НГ;1
1607;ТС681;1;1;4;Русская тройка;1
1608;ТС682;1;1;4;Рождественский;1
1610;ТС710;1;1;12;Огненный дракон;1
1611;ТС720;1;1;12;Мурзик и Барсик;1
1616;ТС730;1;1;18;Зимние узоры;1
1617;ТС741;1;1;12;Новогодний;1
1618;ТС742;1;1;12;С Новым годом!;1
1620;ТС752;1;1;8;В тренде…;1
1621;ТС761;1;1;4;Пульс планеты;1
1628;ТС831;1;1;6;Брызги шампанск.;1
1629;ТС832;1;1;6;Хвоя и мандарины;1
1630;ТС841;1;1;6;Коктебель;1
1631;ТС842;1;1;4;Южное лето;1
1632;ТС851;1;1;4;Огни Сибири;1
1634;ТС861;1;1;4;Новогодняя сказка;1
1638;ФДЖ;4;1;18;Факел дым. ж.;4
1641;ФДО;4;1;18;Факел дым. о.;4
1642;ФДС;4;1;18;Факел дым. с.;4
1643;ФОЖ;4;1;18;Факел огн. ж.;4
1645;ФОК;4;1;18;Факел огн. к.;4
1646;ФОС;4;1;18;Факел огн. с.;4
1647;брил40бел;1;1;40;Н.фонарик Брилл.;1
1656;овал31бел;1;1;40;Н.фонарик Овал;1
1672;цил40бел;1;1;40;Н.фонарик Цилин.;1
1673;;0;0;0;;0
1674;K0201;60;10;24;Super warrior;0
1675;P1005;10;10;20;Happy boom;0
1676;GWL-0010;4;1;24;Roman candle;4
1677;SF-398A;1;1;36;Roman candle;1
1678;SF-398В;1;1;36;Roman candle;1
1679;GWL-0012A;1;1;24;Roman candle;1
1680;GW218-91;1;1;36;Dark worlock;1
1681;GW218-92;1;1;36;Dark worlock;1
1682;GW218-97;1;1;30;Sky sity;1
1683;GP497/2;1;1;24;We are the night;1
1684;GP493;1;1;18;Word;1
1685;GP498;1;1;12;Dream;1
1686;GP498/2;1;1;12;Sofia;1
1687;MC107;1;1;12;Show;1
1688;МС134;1;1;4;Wind;1
1689;GW218-74;1;1;18;Red pion;1
1690;GP475;1;1;12;Angry tiger;1
1691;GP550;1;1;24;Golden coco;1
1692;GP510;1;1;12;Wond. perfomanse;1
1693;GWM5033;1;1;8;Deep yellow;1
1694;MC098;1;1;4;Speed;1
1695;SB-13-02;1;1;10;Splendid;1
1696;SB-19-03;1;1;8;Love of green;1
1697;SB-25-03;1;1;4;Big sure;1
1698;С039;1;1;4;Русский сувенир;1
1699;С068;1;1;2;Салют Победы;1
1700;D7702;1;1;4;Cлезы ангела;1
1701;D7900;1;1;4;Сочельник;1
1702;D7982;1;1;2;Звездная россыпь;1
1703;D8330;1;1;2;Калейдоскоп;1
1704;БСП0510012;1;1;4;Свадебный букет;1
1705;БСП0610012;1;1;4;Остров Пасхи;1
1706;БСП0130008;1;1;4;Галантный век;1
1707;БСП0230010;1;1;4;Испаньола;1
1708;БСП0204918;1;1;4;Танжер;1
1709;БСР0203008-12;1;1;4;Альбатрос;1
1710;БСР0306808-12;1;1;1;Ирбис;1
1711;БСК0108110;1;1;1;Крестоносец;1
1712;БСК0104608-10-12;1;1;1;Экскалибур;1
1713;А7300;1;1;4;Галактика 25;1
1714;А7309;1;1;4;Озеро Титикака;1
1715;А7310;1;1;4;Золотая серия 25;1
1716;А7312;1;1;4;Зимний сад;1
1717;А7313;1;1;4;Рог Изобилия;1
1718;А7314;1;1;4;Голубой Огонек;1
1719;А7381;1;1;4;Фестиваль;1
1720;А7382;1;1;4;Мир салютов;1
1721;А7383;1;1;6;Новый год;1
1722;А7408;1;1;4;Любит не Любит;1
1723;А7424;1;1;4;Ящик пандорры;1
1724;C080;1;1;1;Снегурочка;1
1725;А7433;1;1;4;Брызги шампанск.;1
1726;А7437;1;1;4;Война миров;1
1727;А7504;1;1;2;С Новым годом!;1
1728;А7506;1;1;2;Мороз красный нос;1
1729;А7508;1;1;2;Пагода;1
1730;А7515;1;1;2;Затерянный мир;1
1731;А7519;1;1;2;Патриот;1
1732;А7535;1;1;2;Новог. вечеринка;1
1733;А7600;1;1;1;Снежный Вальс;1
1734;А7602;1;1;1;Медуза Горгона;1
1735;А7616;1;1;1;Новог. карусель ;1
1736;А7617;1;1;1;Карнавальная ночь;1
1737;А7618;1;1;1;Поле Чудес;1
1738;СК475;1;1;1;Чикаго;1
1739;СК537;1;1;4;Зимняя симфония;1
1740;СА470;1;1;1;Амстердам;1
1741;СА625;1;1;4;Не дет. игрушка;1
1742;ЕС550;1;1;2;Всё в порядке!;1
1743;ЕС650;1;1;8;Новогод. шумиха;1
1744;ЕС662;1;1;4;Суперстар;1
1745;ЕС760;1;1;1;Счастливая планет;1
1746;ЕС768;1;1;1;Стольник;1
1747;DF 703012025;1;1;4;Русская красавица;1
1748;DF 702012025;1;1;4;Звезды декабря;1
1749;DF 701012036;1;1;4;Жить хорошо;1
1750;DF 701012049;1;1;4;Ирония Судьбы;1
1751;DF 703012049;1;1;4;Жаркое танго;1
1752;DF 701012019;1;1;6;Клеопатра;1
1753;DF 702012019;1;1;6;Час потехи;1
1754;DF 702012100;1;1;1;Карнавальная ночь;1
1755;DF 702012036;1;1;4;Космос;1
1756;EC170;1;1;4;Разгони бабулек;1
1757;EC201;1;1;4;РуСалют;1
1758;EC215;1;1;2;Нью - Йорк;1
1759;EC230;1;1;2;Заводной апельс.;1
