id_product;active;name;categories;price;id_tax_rules_group;wholesale_price;reference;supplier_reference;id_supplier;id_manufacturer;upc;ecotax;weight;quantity;description_short;description;meta_title;meta_keywords;meta_description;link_rewrite;available_now;available_later;available_for_order;date_add;show_price;online_only;condition;id_shop_default;
"177";"1";"1";"Петарды";"230.290000";"0";"88.570000";"TXB422";"TXB422";"1";"12";"";"0.000000";"0.475000";"0";"";"";"Батареи салютов LITTLE PALM TREE, 15 сек (0.80" x 6) TXB422 ОПТОМ";"";"У нас Вы можете купить Батареи салютов LITTLE PALM TREE, 15 сек (0.80" x 6) TXB422 ОПТОМ по самым низким ценам!";"little-palm-tree-15-sek-080-x-6";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"181";"1";"38";"Петарды";"747.470000";"0";"287.490000";"TXB497";"TXB497";"1";"12";"";"0.000000";"1.416667";"0";"";"";"Батареи салютов HAPPY HOLIDAY, 16 сек (1.20" x 10) TXB497 ОПТОМ";"";"У нас Вы можете купить Батареи салютов HAPPY HOLIDAY, 16 сек (1.20" x 10) TXB497 ОПТОМ по самым низким ценам!";"happy-holiday-16-sek-120-x-10";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"182";"1";"0";"Петарды";"376.580000";"0";"144.840000";"TXB498";"TXB498";"1";"12";"";"0.000000";"0.472222";"0";"";"";"Батареи салютов MAGIC KEY, 16 сек (0.80" x 16) TXB498 ОПТОМ";"";"У нас Вы можете купить Батареи салютов MAGIC KEY, 16 сек (0.80" x 16) TXB498 ОПТОМ по самым низким ценам!";"magic-key-16-sek-080-x-16";"";"";"1";"2017-11-05 12:27:39";"1";"0";"new";"1";
"183";"1";"0";"Петарды";"1177.860000";"0";"453.030000";"TXB561";"TXB561";"1";"12";"";"0.000000";"2.250000";"0";"";"";"Батареи салютов JULY, 38 сек (1.20" x 19) TXB561 ОПТОМ";"";"У нас Вы можете купить Батареи салютов JULY, 38 сек (1.20" x 19) TXB561 ОПТОМ по самым низким ценам!";"july-38-sek-120-x-19";"";"";"1";"2017-11-05 12:27:39";"1";"0";"new";"1";
"186";"1";"0";"Петарды";"1208.980000";"0";"465.000000";"TXB565";"TXB565";"1";"12";"";"0.000000";"2.250000";"0";"";"";"Батареи салютов DECEMBER, 25 сек (1.20" x 19) TXB565 ОПТОМ";"";"У нас Вы можете купить Батареи салютов DECEMBER, 25 сек (1.20" x 19) TXB565 ОПТОМ по самым низким ценам!";"december-25-sek-120-x-19";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"187";"1";"0";"Петарды";"1496.840000";"0";"575.720000";"TXB592";"TXB592";"1";"12";"";"0.000000";"4.500000";"0";"";"";"Батареи салютов MULTI BROCADE, 42 сек (1.20" x 19) TXB592 ОПТОМ";"";"У нас Вы можете купить Батареи салютов MULTI BROCADE, 42 сек (1.20" x 19) TXB592 ОПТОМ по самым низким ценам!";"multi-brocade-42-sek-120-x-19";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"188";"1";"0";"Петарды";"376.580000";"0";"144.840000";"TXB603";"TXB603";"1";"12";"";"0.000000";"0.583333";"0";"";"";"Батареи салютов THE MAGIC KEY, 13 сек (0.80" x 16) TXB603 ОПТОМ";"";"У нас Вы можете купить Батареи салютов THE MAGIC KEY, 13 сек (0.80" x 16) TXB603 ОПТОМ по самым низким ценам!";"the-magic-key-13-sek-080-x-16";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"190";"1";"0";"Петарды";"773.900000";"0";"297.660000";"TXB644";"TXB644";"1";"12";"";"0.000000";"1.416667";"0";"";"";"Батареи салютов COLOR PEONY, 26 сек (0.80" x 25) TXB644 ОПТОМ";"";"У нас Вы можете купить Батареи салютов COLOR PEONY, 26 сек (0.80" x 25) TXB644 ОПТОМ по самым низким ценам!";"color-peony-26-sek-080-x-25";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"192";"1";"19";"Петарды";"773.900000";"0";"297.660000";"TXB646";"TXB646";"1";"12";"";"0.000000";"1.111111";"0";"";"";"Батареи салютов MEADOW, 25 сек (0.80" x 25) TXB646 ОПТОМ";"";"У нас Вы можете купить Батареи салютов MEADOW, 25 сек (0.80" x 25) TXB646 ОПТОМ по самым низким ценам!";"meadow-25-sek-080-x-25";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"196";"1";"0";"Петарды";"89.660000";"0";"34.490000";"TXB662";"TXB662";"1";"12";"";"0.000000";"0.177083";"0";"";"";"Батареи салютов Ballet, 15 сек (0.80" x 11) TXB662 ОПТОМ";"";"У нас Вы можете купить Батареи салютов Ballet, 15 сек (0.80" x 11) TXB662 ОПТОМ по самым низким ценам!";"ballet-15-sek-080-x-11";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
